SampleId	gtdb_r207_ackA	gtdb_r207_acnA	gtdb_r207_acs	gtdb_r207_acsB	gtdb_r207_acsE	gtdb_r207_cdhA	gtdb_r207_cdhC	gtdb_r207_cooS	gtdb_r207_eno	gtdb_r207_fbaA	gtdb_r207_fbaB	gtdb_r207_fchA	gtdb_r207_fdhA	gtdb_r207_fhs	gtdb_r207_folD	gtdb_r207_ftr	gtdb_r207_fumA	gtdb_r207_fumB	gtdb_r207_fwdA_fmdA	gtdb_r207_gapA	gtdb_r207_gapN	gtdb_r207_gapor	gtdb_r207_glpX	gtdb_r207_gltA	gtdb_r207_gpmA	gtdb_r207_gpmI	gtdb_r207_hdrA	gtdb_r207_hdrD	gtdb_r207_hdrE	gtdb_r207_hmd	gtdb_r207_icd	gtdb_r207_idh3	gtdb_r207_korA	gtdb_r207_korB	gtdb_r207_korC	gtdb_r207_korD	gtdb_r207_mch	gtdb_r207_mcrA	gtdb_r207_mdh	gtdb_r207_mer	gtdb_r207_metF	gtdb_r207_mqo	gtdb_r207_mtaA	gtdb_r207_mtbA	gtdb_r207_mtbB	gtdb_r207_mtd	gtdb_r207_mtmB	gtdb_r207_mtrA	gtdb_r207_mtrH	gtdb_r207_mttB	gtdb_r207_mvhA_vhuA_vhcA	gtdb_r207_pfkC	gtdb_r207_pfp	gtdb_r207_pgi	gtdb_r207_pgk	gtdb_r207_pgl	gtdb_r207_pgm	gtdb_r207_ppdk	gtdb_r207_prkB	gtdb_r207_pta	gtdb_r207_rbcL	gtdb_r207_rbcS	gtdb_r207_rpe	gtdb_r207_rpiA	gtdb_r207_sdhA_frdA	gtdb_r207_sdhB_frdB	gtdb_r207_sdhC_frdC	gtdb_r207_sdhD_frdD	gtdb_r207_sucC	gtdb_r207_sucD	gtdb_r207_tktA	gtdb_r207_tpi	read_pair_count
0_SD7449_H041_pH7	3025	12093	18226	6	817	186	4	16	6990	1046	1279	753	3935	2935	3973	628	1600	1300	1563	5453	16378	181	2780	6311	2408	2860	1461	1039	64	26	6283	8546	4672	3244	253	760	544	1	3999	2677	2066	278	49	108	1	0	1	16	0	42	329	1	1536	2037	5162	1953	2983	9728	148	1909	273	33	3195	1001	12064	3102	542	248	5869	4474	8694	3163	29733981
1_SD7450_H042_pH7	8656	37297	53143	43	2254	425	20	21	20662	3186	4470	2428	11630	9237	12533	1100	4760	4005	2977	16839	44485	484	7324	18484	5927	11536	3687	3233	151	9	18969	25911	13727	9940	795	1959	1034	0	12465	7076	6128	876	149	389	6	0	2	67	2	112	1468	11	3859	6616	15807	5088	10493	29405	445	5566	897	184	10470	3667	34990	9710	1707	981	17312	13975	28711	9610	88559703
2_SD7451_H043_pH7	3610	14126	21761	20	970	220	7	38	8158	1101	1500	1013	5004	3738	4751	781	1985	1668	1764	6330	19465	267	3146	7580	2736	3701	1935	1251	86	7	7326	10405	5785	4011	349	889	637	0	4933	3314	2224	276	101	170	1	6	1	22	5	49	602	0	1881	2434	6130	2298	3678	12040	184	2116	313	54	3732	1270	13979	3747	611	338	6702	5411	10549	3905	34555550
3_SD7452_H044_pH7	1249	4960	7829	5	419	108	1	14	2830	412	526	327	1708	1172	1613	254	607	550	656	2193	7249	90	1036	2531	949	1206	783	470	41	6	2597	3610	1870	1382	95	344	210	0	1603	1232	953	139	38	61	2	0	0	10	6	21	187	0	610	968	2075	768	1400	4012	64	744	133	20	1288	465	5031	1276	246	136	2318	1808	3851	1278	11859306
4_SD7453_H045_pH7	1016	4087	6928	11	382	84	6	23	2312	330	480	321	1529	1071	1328	225	600	488	651	1774	6357	65	899	2354	784	1064	742	472	42	3	2193	3108	1718	1189	108	308	188	2	1442	1119	644	106	40	66	3	0	0	8	3	25	161	1	634	700	1856	704	1077	3416	36	661	85	12	1130	321	4300	1090	173	86	1966	1669	3188	1214	9936466
5_SD7454_H046_pH7	4198	16042	24127	13	1050	269	7	13	9374	1592	1725	898	5336	3926	5366	829	2091	1950	1954	7538	21622	236	3703	8265	3339	3925	1874	1406	63	17	8035	11204	6223	4365	295	869	661	0	5423	3573	2835	426	83	145	0	0	0	23	4	53	554	0	1991	2769	6932	2324	4441	12842	213	2515	402	84	4316	1515	15718	4090	696	403	7937	6135	11984	4368	40965374
6_SD7455_H048_pH7	2086	8166	12907	11	584	128	5	13	4705	789	731	494	2889	1993	2759	446	1086	994	1030	3614	11507	129	1804	4075	1702	1824	1078	701	51	8	4119	5738	3169	2123	204	498	352	0	2678	1825	1413	253	31	78	2	3	0	11	3	23	242	0	1061	1360	3492	1252	2121	6489	84	1343	256	21	2135	728	8202	2089	377	236	3876	3170	6081	2194	20444556
7_SD7456_H049_pH7	1923	7954	12382	8	582	157	4	10	4442	598	913	552	2629	2005	2502	511	1066	937	1056	3490	11099	112	1740	4185	1535	1927	1110	751	38	12	3987	5692	2949	2216	148	480	389	0	2664	2004	1184	196	45	69	0	2	1	11	3	41	267	0	1036	1309	3092	1277	2039	6452	77	1219	181	33	2140	647	7795	2095	345	164	3649	2893	5704	2065	20084582
8_SD7458_H051_pH7	3285	13184	19887	5	903	207	4	10	7784	1143	1572	778	4144	3397	4286	671	1706	1494	1606	5971	16916	199	2818	6861	2334	3511	1611	1158	95	13	6535	9225	5177	3719	268	785	471	1	4548	2853	2155	373	70	158	4	0	3	19	2	58	464	1	1651	2271	5705	2193	3606	10858	158	1884	280	38	3562	1155	12855	3300	499	266	6380	4852	9810	3496	35394046
9_SD7460_H053_pH7	2833	13049	19900	22	892	177	15	10	7438	1113	1619	883	4497	3344	4700	473	1835	1540	1299	5672	18259	184	2520	6417	2531	3455	1719	1139	59	8	6602	9157	4899	3501	235	797	416	1	4323	2964	2126	371	84	166	1	1	0	14	2	76	395	1	1718	2237	5643	1764	3054	9713	144	2143	354	78	3442	1238	12811	3385	593	391	6289	5122	9327	3481	31375344
